institute,lpc,ca,bq,ndp,pc,date,cpc,gpc,sample_size,polling_method,other,ppc
Leger,34,NA,5,11,NA,2019-09-09,35,11,1546,online,NA,3
Mainstreet Research,37.5,NA,3.6,8.4,NA,2019-09-08,34,10.8,1876,IVR,NA,4.6
Nanos Research,34.6,NA,4,16.5,NA,2019-09-06,30.7,11,1000,telephone (rolling),NA,2
Campaign Research,34,NA,4,12,NA,2019-09-05,34,12,2094,online,NA,2
Innovative Research,33,NA,5,13,NA,2019-09-05,34,11,3236,online,NA,5
Nanos Research,35.4,NA,4.4,15.7,NA,2019-08-30,31.3,10.3,1000,telephone (rolling),NA,1.6
EKOS,37.2,NA,5.5,7.2,NA,2019-08-29,32.9,10.4,902,IVR,NA,4.3
Leger,34,NA,5,12,NA,2019-08-29,33,12,2102,online,NA,3
Abacus Data,33,NA,4,17,NA,2019-08-29,34,9,4549,online,NA,3
Angus Reid,32,NA,4,14,NA,2019-08-26,36,9,1534,online,NA,4
Nanos Research,33.66,NA,4.17,14.87,NA,2019-08-23,33.65,9.41,1000,telephone (rolling),NA,2.09
EKOS,33.1,NA,5.1,10.4,NA,2019-08-22,34.1,11.2,1182,IVR,NA,3.7
Leger,33,NA,4,11,NA,2019-08-19,33,13,1535,online,NA,4
Ipsos,33,NA,3,18,NA,2019-08-19,35,9,1001,online,NA,1
Abacus Data,32,NA,4,17,NA,2019-08-19,32,10,2152,online,NA,3
DART/Maru,32,NA,5,15,NA,2019-08-17,39,7,1512,online,NA,1
Nanos Research,34.61,NA,4.16,14.58,NA,2019-08-16,31.41,10,1000,telephone (rolling),NA,1.68
Campaign Research,32,NA,4,13,NA,2019-08-13,33,12,2365,online,NA,3
Nanos Research,35,NA,3.69,14.75,NA,2019-08-09,32.46,9.8,1000,telephone (rolling),NA,1.33
Abacus Data,32,NA,4,17,NA,2019-08-06,33,10,1422,online,NA,3
Nanos Research,36.7,NA,3.7,16.1,NA,2019-08-02,30.8,9.3,1000,telephone (rolling),NA,1.4
Mainstreet Research,34.5,NA,4.4,11.1,NA,2019-07-31,34.1,11.1,2463,IVR,NA,3.3
Innovative Research,36,NA,4,14,NA,2019-07-31,32,10,1804,online,NA,4
Forum Research,31,NA,5,12,NA,2019-07-28,34,12,1733,IVR,NA,5
EKOS,30.6,NA,4.6,9.9,NA,2019-07-25,36,12.9,1115,IVR,NA,3.8
Leger,33,NA,4,11,NA,2019-07-23,36,12,1536,online,NA,3
EKOS,33.6,NA,3.1,12.5,NA,2019-07-18,31.3,12.5,1186,IVR,NA,4.8
Nanos Research,35.6,NA,4,18.6,NA,2019-07-19,30,9,1000,telephone (rolling),NA,1.4
Research Co.,34,NA,4,17,NA,2019-07-17,31,10,1000,online,NA,3
Abacus Data,32,NA,4,16,NA,2019-07-17,32,11,1500,online,NA,3
Ipsos,31,NA,5,18,NA,2019-07-15,37,7,1000,online,NA,1
Campaign Research,33,NA,4,14,NA,2019-07-12,32,14,1896,online,NA,3
Angus Reid,30,NA,4,14,NA,2019-07-12,38,10,2361,online,NA,2
Nanos Research,35.9,NA,4.8,18.5,NA,2019-07-12,29.7,8.3,1000,telephone (rolling),NA,1.5
EKOS,30.7,NA,5,10.8,NA,2019-07-08,32.3,14.9,948,IVR,NA,4.2
Innovative Research,35,NA,4,12,NA,2019-07-08,32,11,2515,online,NA,5
Nanos Research,34.6,NA,4.9,17.9,NA,2019-07-05,30.4,8.8,1000,telephone (rolling),NA,1.6
Abacus Data,32,NA,4,16,NA,2019-07-02,33,11,3092,online,NA,3
Mainstreet Research,35,NA,4.5,10.4,NA,2019-07-02,33.2,10.3,2651,IVR,NA,4.6
EKOS,31.6,NA,3.8,9.7,NA,2019-06-29,34.1,12.6,1194,IVR,NA,5.7
Nanos Research,34.5,NA,4.6,16.5,NA,2019-06-28,31.7,9.8,1000,telephone (rolling),NA,0.9
DART/Maru,33,NA,5,17,NA,2019-06-26,37,7,1512,online,NA,1
Forum Research,29,NA,5,13,NA,2019-06-23,35,12,1539,IVR,NA,4
Nanos Research,32.5,NA,4.9,16.9,NA,2019-06-21,32.8,10.2,1000,telephone (rolling),NA,0.7
EKOS,30.1,NA,4.3,12,NA,2019-06-17,34.2,13.2,2491,IVR,NA,3.6
Nanos Research,30.3,NA,4.6,16.8,NA,2019-06-14,34,11.4,1000,telephone (rolling),NA,0.7
Leger,29,NA,4,13,NA,2019-06-10,38,11,1528,online,NA,3
Ipsos,31,NA,5,18,NA,2019-06-07,37,6,1003,online,NA,NA
Nanos Research,30.9,NA,4,16.9,NA,2019-06-07,34.2,11.3,1000,telephone (rolling),NA,0.8
Campaign Research,32,NA,4,14,NA,2019-06-06,35,12,2735,online,NA,2
Angus Reid,26,NA,5,15,NA,2019-06-04,37,12,4698,online,NA,4
Forum Research,30,NA,6,13,NA,2019-06-02,34,13,1633,IVR,NA,4
Nanos Research,29.5,NA,4.4,16.4,NA,2019-05-31,34.3,11.5,1000,telephone (rolling),NA,0.8
Innovative Research,33,NA,5,12,NA,2019-05-30,33,13,1691,online,NA,NA
Abacus Data,33,NA,3,16,NA,2019-05-30,32,12,1500,online,NA,3
Nanos Research,29.2,NA,4.7,15.6,NA,2019-05-24,34.8,11.5,1000,telephone (rolling),NA,1.6
Nanos Research,30.6,NA,4,14.2,NA,2019-05-17,35.9,11.1,1000,telephone (rolling),NA,1.1
Nanos Research,29.7,NA,4.4,15,NA,2019-05-10,35.4,11.3,1000,telephone (rolling),NA,0.9
Nanos Research,31.8,NA,4.6,15.9,NA,2019-05-03,34.5,9.7,1000,telephone (rolling),NA,0.9
Campaign Research,31,NA,3,17,NA,2019-05-01,35,10,1471,online,NA,2
Angus Reid,25,NA,5,18,NA,2019-04-30,38,11,1525,online,NA,3
Abacus Data,31,NA,4,17,NA,2019-04-30,34,9,4015,online,NA,3
Nanos Research,32,NA,4.1,16.5,NA,2019-04-26,34.9,9,1000,telephone (rolling),NA,0.5
Ipsos,32,NA,5,19,NA,2019-04-25,36,NA,1000,online,NA,NA
Forum Research,30,NA,6,14,NA,2019-04-24,37,9,1595,IVR,NA,2
Leger,27,NA,5,12,NA,2019-04-22,40,11,1522,online,NA,3
Nanos Research,33,NA,4.7,15.2,NA,2019-04-18,35.5,8.4,1000,telephone (rolling),NA,0.8
Nanos Research,34.1,NA,4.5,14.9,NA,2019-04-12,35,8.8,1000,telephone (rolling),NA,0.7
Innovative Research,36,NA,4,13,NA,2019-04-10,32,10,2527,online,NA,NA
Forum Research,29,NA,6,12,NA,2019-04-06,42,9,1634,IVR,NA,2
Campaign Research,32,NA,5,15,NA,2019-04-06,34,10,2035,online,NA,3
Nanos Research,32.8,NA,4,16.6,NA,2019-04-05,34.9,9.5,1000,telephone (rolling),NA,0.5
Nanos Research,34.6,NA,4.4,16.6,NA,2019-03-29,35.1,8.1,1000,telephone (rolling),NA,0.5
Ipsos,30,NA,5,21,NA,2019-03-27,40,NA,1002,online,NA,NA
Mainstreet Research,35,NA,3.1,11.6,NA,2019-03-25,37.4,7.9,8501,IVR,NA,3.8
Angus Reid,28,NA,5,17,NA,2019-03-25,37,8,5807,online,NA,4
Nanos Research,32.5,NA,3.9,19.4,NA,2019-03-22,34.6,8.3,1000,telephone (rolling),NA,0.6
Forum Research,35,NA,1,14,NA,2019-03-20,41,6,1490,IVR,NA,2
Leger,31,NA,4,14,NA,2019-03-20,37,10,1513,online,NA,3
Nanos Research,32.6,NA,3.2,19.9,NA,2019-03-15,35.5,7.7,1000,telephone (rolling),NA,0.5
Abacus Data,32,NA,4,16,NA,2019-03-10,34,11,900,online (rolling),NA,NA
Campaign Research,30,NA,4,16,NA,2019-03-10,36,10,1893,online,NA,2
Abacus Data,31,NA,4,16,NA,2019-03-09,35,11,900,online (rolling),NA,NA
Abacus Data,31,NA,5,15,NA,2019-03-08,36,10,900,online (rolling),NA,NA
Nanos Research,32.9,NA,3.6,17.9,NA,2019-03-08,36.1,8.3,1000,telephone (rolling),NA,0.5
Abacus Data,33,NA,4,16,NA,2019-03-07,34,10,900,online (rolling),NA,NA
Abacus Data,32,NA,4,18,NA,2019-03-06,34,9,900,online (rolling),NA,NA
Abacus Data,31,NA,4,17,NA,2019-03-05,35,9,900,online (rolling),NA,NA
Innovative Research,36,NA,5,13,NA,2019-03-04,32,9,2122,online,NA,5
Ipsos,31,NA,4,20,NA,2019-03-04,40,4,1000,online,NA,0
Abacus Data,30,NA,5,17,NA,2019-03-04,36,9,1500,online,NA,NA
Nanos Research,34.2,NA,3.6,15.5,NA,2019-03-01,34.7,9.1,1000,telephone (rolling),NA,0.7
Forum Research,33,NA,3,12,NA,2019-02-28,42,5,1301,IVR,NA,4
Abacus Data,32,NA,4,17,NA,2019-02-26,33,9,2374,online,NA,NA
Angus Reid,31,NA,5,14,NA,2019-02-24,38,8,1009,online,NA,NA
Nanos Research,35.7,NA,3.7,15,NA,2019-02-22,33.6,8.4,1000,telephone (rolling),NA,1.2
Leger,34,NA,5,12,NA,2019-02-19,36,8,1529,online,NA,4
Ipsos,34,NA,6,17,NA,2019-02-18,36,NA,1002,online,NA,NA
Nanos Research,37.9,NA,4.1,13.7,NA,2019-02-15,31.8,7.8,1000,telephone (rolling),NA,1.5
Abacus Data,33,NA,4,15,NA,2019-02-11,35,9,2500,online,NA,NA
Campaign Research,32,NA,5,14,NA,2019-02-11,37,7,1590,online,NA,3
Nanos Research,37.5,NA,3.8,13,NA,2019-02-08,34.4,7.4,1000,telephone (rolling),NA,1.7
Abacus Data,34,NA,4,17,NA,2019-02-05,34,8,2500,online,NA,NA
Nanos Research,37.6,NA,3.1,13.2,NA,2019-02-01,35.9,7.9,1000,telephone (rolling),NA,1.7
Nanos Research,37.6,NA,3,12.8,NA,2019-01-25,36.6,8.1,1000,telephone (rolling),NA,1.2
Innovative Research,38,NA,5,12,NA,2019-01-24,32,8,2451,online,NA,4
Mainstreet Research,37.2,NA,3.2,11.5,NA,2019-01-18,35.1,7.2,7941,IVR,NA,4.2
Nanos Research,37.2,NA,3.2,14.2,NA,2019-01-18,36.1,7.4,1000,telephone (rolling),NA,1.5
Nanos Research,38.1,NA,3.3,15.4,NA,2019-01-11,33.9,6.9,1000,telephone (rolling),NA,1.6
Innovative Research,36,NA,5,15,NA,2019-01-07,33,8,2700,online,NA,4
Nanos Research,38.7,NA,3,16.7,NA,2019-01-04,33.3,6,1000,telephone (rolling),NA,1.4
Nanos Research,36.8,NA,3.4,16.1,NA,2018-12-28,34.4,6.4,1000,telephone (rolling),NA,1.2
Nanos Research,35.2,NA,3.8,16,NA,2018-12-21,34.1,7,1000,telephone (rolling),NA,1.5
Abacus Data,35,NA,4,17,NA,2018-12-18,34,7,2000,online,NA,NA
Nanos Research,36,NA,3.4,16.6,NA,2018-12-14,33.9,6.6,1000,telephone (rolling),NA,0.7
Campaign Research,33,NA,4,16,NA,2018-12-13,35,8,1494,online,NA,2
Ipsos,38,NA,4,18,NA,2018-12-12,33,NA,2001,online,NA,NA
Nanos Research,34.1,NA,3.1,15.8,NA,2018-12-07,34.8,8.2,1000,telephone (rolling),NA,0.8
Nanos Research,37.9,NA,3,14.3,NA,2018-11-30,32.2,7.6,1000,telephone (rolling),NA,0.8
Forum Research,34,NA,4,11,NA,2018-11-29,43,6,1541,IVR,NA,NA
Nanos Research,39.6,NA,2.4,14.5,NA,2018-11-23,31.5,6.9,1000,telephone (rolling),NA,1.1
Leger,39,NA,4,14,NA,2018-11-20,33,5,1521,online,NA,4
Nanos Research,39.4,NA,2.5,17.2,NA,2018-11-16,28.7,7.3,1000,telephone (rolling),NA,1.1
Innovative Research,38,NA,4,14,NA,2018-11-15,32,8,2490,online,NA,3
Abacus Data,38,NA,4,16,NA,2018-11-13,31,9,1500,online,NA,NA
Campaign Research,35,NA,4,17,NA,2018-11-09,35,7,2512,online,NA,NA
Nanos Research,39.4,NA,2,19.8,NA,2018-11-09,27.5,6.1,1000,telephone (rolling),NA,1.4
Mainstreet Research,39.3,NA,3.4,10.8,NA,2018-11-07,34.6,6.8,7961,IVR,NA,3.8
Nanos Research,39.6,NA,1.9,19.3,NA,2018-11-02,28.1,6.9,1000,telephone (rolling),NA,1.2
Nanos Research,39.4,NA,2.8,19.3,NA,2018-10-26,28.2,6.5,1000,telephone (rolling),NA,1
Nanos Research,39.5,NA,3.6,16.9,NA,2018-10-19,29.4,7,1000,telephone (rolling),NA,1.4
Nanos Research,37.1,NA,3.7,16.1,NA,2018-10-12,31.4,7.2,1000,telephone (rolling),NA,1.3
Forum Research,32,NA,4,15,NA,2018-10-10,41,7,1226,IVR,NA,NA
Ipsos,36,NA,4,20,NA,2018-10-09,35,NA,2001,online,NA,NA
Nanos Research,37.3,NA,3.8,16.2,NA,2018-10-05,31.1,6.7,1000,telephone (rolling),NA,NA
Innovative Research,38,NA,5,15,NA,2018-10-01,31,7,2410,online,NA,3
Nanos Research,38,NA,2.6,16.7,NA,2018-09-28,31.7,6,1000,telephone (rolling),NA,NA
Nanos Research,39,NA,2.4,17,NA,2018-09-21,31.2,5.5,1000,telephone (rolling),NA,NA
Pollara,40,NA,3,12,NA,2018-09-20,34,7,1002,online,NA,2
Abacus Data,38,NA,3,17,NA,2018-09-19,34,7,2000,online,NA,NA
DART/Maru,30,NA,5,17,NA,2018-09-19,38,8,5769,online,NA,NA
Campaign Research,36,NA,5,15,NA,2018-09-14,38,7,1486,online,NA,0
Nanos Research,41.1,NA,2,14.9,NA,2018-09-14,31.4,5.8,1000,telephone (rolling),NA,0
Nanos Research,39.9,NA,2.5,14.9,NA,2018-09-07,32.8,6.5,1000,telephone (rolling),NA,0
Nanos Research,39.9,NA,3.4,15.8,NA,2018-08-31,32.4,6.7,1000,telephone (rolling),NA,0
Abacus Data,37,NA,3,18,NA,2018-08-25,34,6,1000,online,NA,0
Nanos Research,38.8,NA,2.9,16.5,NA,2018-08-24,34.4,6.3,1000,telephone (rolling),NA,0
Abacus Data,37,NA,3,18,NA,2018-08-20,33,8,1500,online,NA,0
Nanos Research,37.5,NA,3.2,19,NA,2018-08-17,33.9,5.7,1000,telephone (rolling),NA,0
Forum Research,36,NA,2,15,NA,2018-08-12,42,4,1777,IVR,NA,0
Nanos Research,35.8,NA,3.2,20.1,NA,2018-08-10,35.1,4.8,1000,telephone (rolling),NA,0
Nanos Research,36.9,NA,2.3,17.8,NA,2018-08-03,36.6,5.2,1000,telephone (rolling),NA,0
Nanos Research,35.8,NA,2.2,19.1,NA,2018-07-27,35.2,6.6,1000,telephone (rolling),NA,0
EKOS,34.9,NA,4,17.3,NA,2018-07-26,32.1,9.3,1302,IVR,NA,0
Abacus Data,36,NA,3,19,NA,2018-07-22,34,7,2000,online,NA,0
Nanos Research,35.8,NA,2,19,NA,2018-07-20,35.9,6.1,1000,telephone (rolling),NA,0
Mainstreet Research,39.4,NA,2.4,11.8,NA,2018-07-17,36.9,7,9384,IVR,NA,0
Ipsos,39,NA,2,21,NA,2018-07-16,32,NA,1000,online,NA,0
Nanos Research,37.3,NA,1.8,18.4,NA,2018-07-13,34.5,7.1,1000,telephone (rolling),NA,0
Nanos Research,35.7,NA,2.4,20.3,NA,2018-07-06,33.4,6.8,1000,telephone (rolling),NA,0
Ipsos,33,NA,3,21,NA,2018-06-29,37,NA,1002,online,NA,0
Nanos Research,36.5,NA,2.7,20.8,NA,2018-06-29,33.1,5.4,1000,telephone (rolling),NA,0
Nanos Research,36.7,NA,3.6,20.6,NA,2018-06-22,32,5.7,1000,telephone (rolling),NA,0
Campaign Research,34,NA,3,18,NA,2018-06-18,36,8,1579,online,NA,0
Ipsos,32,NA,5,20,NA,2018-06-15,36,NA,1001,online,NA,0
Nanos Research,36.9,NA,4.1,19.9,NA,2018-06-15,32.5,5.1,1000,telephone (rolling),NA,0
Angus Reid,36,NA,4,16,NA,2018-06-14,32,9,1023,online,NA,0
Nanos Research,35.3,NA,4.1,22,NA,2018-06-08,33,4.8,1000,telephone (rolling),NA,0
Nanos Research,34.1,NA,4.4,21.2,NA,2018-06-01,34,5.4,1000,telephone (rolling),NA,0
Forum Research,31,NA,2,17,NA,2018-05-31,44,5,969,IVR,NA,0
Nanos Research,33,NA,4,19.8,NA,2018-05-25,36,6.4,1000,telephone (rolling),NA,0
Nanos Research,35.1,NA,3.6,20.1,NA,2018-05-18,34,5.9,1000,telephone (rolling),NA,0
Forum Research,30,NA,2,18,NA,2018-05-16,46,4,1484,IVR,NA,0
Innovative Research,35,NA,4,15,NA,2018-05-14,38,7,2327,online,NA,0
Nanos Research,36.1,NA,3.7,18.5,NA,2018-05-11,34.4,6,1000,telephone (rolling),NA,0
Leger,39,NA,2,15,NA,2018-05-10,36,NA,2103,online,NA,0
Nanos Research,38,NA,4.2,17.6,NA,2018-05-04,33.2,5.4,1000,telephone (rolling),NA,0
Innovative Research,35,NA,4,16,NA,2018-05-02,38,6,1000,telephone,NA,0
Ipsos,36,NA,3,20,NA,2018-04-30,35,NA,1907,online,NA,0
Nanos Research,39.2,NA,4.4,18.2,NA,2018-04-27,30.6,5.9,1000,telephone (rolling),NA,0
Forum Research,30,NA,4,14,NA,2018-04-20,43,8,1585,IVR,NA,0
Nanos Research,38.2,NA,3.7,17.9,NA,2018-04-20,31.6,7,1000,telephone (rolling),NA,0
Mainstreet Research,40.4,NA,2.6,11.9,NA,2018-04-18,37.1,5.9,9401,IVR,NA,0
Nanos Research,41.1,NA,3.8,15.8,NA,2018-04-13,29.2,8.2,1000,telephone (rolling),NA,0
Nanos Research,38.2,NA,3,17.2,NA,2018-04-06,32.9,7,1000,telephone (rolling),NA,0
Nanos Research,39.1,NA,2.4,16.4,NA,2018-03-29,33.7,6.5,1000,telephone (rolling),NA,0
Ipsos,31,NA,3,23,NA,2018-03-23,38,NA,1003,online,NA,0
Nanos Research,38.1,NA,3.1,16.8,NA,2018-03-23,34.7,5.5,1000,telephone (rolling),NA,0
Nanos Research,35.9,NA,3.5,18.5,NA,2018-03-16,34.8,6.2,1000,telephone (rolling),NA,0
Angus Reid,30,NA,4,19,NA,2018-03-15,40,6,5423,online,NA,0
Nanos Research,35.8,NA,4.5,19.3,NA,2018-03-09,33.1,6.7,1000,telephone (rolling),NA,0
Leger,38,NA,3,14,NA,2018-03-08,38,5,1536,online,NA,0
Abacus Data,36,NA,3,18,NA,2018-03-04,33,8,4023,online,NA,0
Nanos Research,36.5,NA,4,19,NA,2018-03-02,32.7,7.1,1000,telephone (rolling),NA,0
Ipsos,33,NA,3,21,NA,2018-03-01,38,NA,1001,online,NA,0
Forum Research,34,NA,2,14,NA,2018-03-01,46,3,941,IVR,NA,0
Nanos Research,37.7,NA,3.8,19.2,NA,2018-02-23,31.5,6.9,1000,telephone (rolling),NA,0
Nanos Research,36.6,NA,3.3,20.3,NA,2018-02-16,30.8,8,1000,telephone (rolling),NA,0
Campaign Research,39,NA,4,16,NA,2018-02-10,32,7,2227,online,NA,0
Nanos Research,38.1,NA,3.1,18.5,NA,2018-02-09,30.4,8.8,1000,telephone (rolling),NA,0
Nanos Research,38.1,NA,3,19.7,NA,2018-02-02,30.3,7.6,1000,telephone (rolling),NA,0
Abacus Data,39,NA,4,18,NA,2018-01-28,32,6,1411,online,NA,0
Nanos Research,37.8,NA,3.5,19.9,NA,2018-01-26,30.6,7.5,1000,telephone (rolling),NA,0
Forum Research,38,NA,3,12,NA,2018-01-24,43,3,1408,IVR,NA,0
Nanos Research,37.9,NA,3.7,17.3,NA,2018-01-19,34.4,6,1000,telephone (rolling),NA,0
Nanos Research,37,NA,3.8,20,NA,2018-01-12,33.8,4.5,1000,telephone (rolling),NA,0
Campaign Research,42,NA,4,16,NA,2018-01-11,29,7,1887,online,NA,0
Mainstreet Research,40.3,NA,4.4,13.1,NA,2018-01-06,34.5,7.7,9830,IVR,NA,0
Nanos Research,40.9,NA,3.7,19.5,NA,2018-01-05,30.7,4.8,1000,telephone (rolling),NA,0
Nanos Research,41.6,NA,3.5,20.1,NA,2017-12-29,30.1,4.2,1000,telephone (rolling),NA,0
Nanos Research,42.8,NA,3.3,20,NA,2017-12-22,29.1,4.2,1000,telephone (rolling),NA,0
Nanos Research,41.9,NA,3.4,19.1,NA,2017-12-15,29.3,5.7,1000,telephone (rolling),NA,0
Forum Research,38,NA,5,12,NA,2017-12-14,39,5,1284,IVR,NA,0
Ipsos,38,NA,5,20,NA,2017-12-14,31,NA,2098,online,NA,0
Nanos Research,40.7,NA,3.8,17.5,NA,2017-12-08,30.3,6.7,1000,telephone (rolling),NA,0
Nanos Research,40.1,NA,4.2,16.5,NA,2017-12-01,30.7,6.9,1000,telephone (rolling),NA,0
Leger,40,NA,4,13,NA,2017-11-30,34,8,1609,online,NA,0
Nanos Research,38.8,NA,4.4,17.2,NA,2017-11-24,30.6,6.9,1000,telephone (rolling),NA,0
Nanos Research,39.3,NA,5,16.6,NA,2017-11-17,30.7,7,1000,telephone (rolling),NA,0
Abacus Data,40,NA,4,18,NA,2017-11-14,32,6,1500,online,NA,0
Nanos Research,38.3,NA,5.3,17.5,NA,2017-11-10,30.9,6,1000,telephone (rolling),NA,0
Campaign Research,38,NA,5,19,NA,2017-11-09,30,7,2616,online,NA,0
Forum Research,36,NA,6,14,NA,2017-11-06,38,6,1281,IVR,NA,0
Nanos Research,36.6,NA,5.9,19,NA,2017-11-03,29.6,6.4,1000,telephone (rolling),NA,0
Nanos Research,36.1,NA,6.1,18.5,NA,2017-10-27,29.6,6.6,1000,telephone (rolling),NA,0
Insights West,35,NA,4,20,NA,2017-10-26,33,7,1005,online,NA,0
Ipsos,38,NA,4,23,NA,2017-10-25,30,NA,1001,online,NA,0
Leger,42,NA,4,15,NA,2017-10-25,30,7,1534,online,NA,0
Abacus Data,39,NA,5,15,NA,2017-10-23,35,5,1500,online,NA,0
Nanos Research,35,NA,6.3,17.7,NA,2017-10-20,30.8,6.9,1000,telephone (rolling),NA,0
Environics,38,NA,5,20,NA,2017-10-16,30,7,2000,online,NA,0
Nanos Research,34.6,NA,7.2,16.3,NA,2017-10-13,31.3,7.3,1000,telephone (rolling),NA,0
Angus Reid,35,NA,4,18,NA,2017-10-12,35,6,1492,online,NA,0
Campaign Research,38,NA,4,19,NA,2017-10-11,30,8,2002,online,NA,0
Nanos Research,36.9,NA,6.6,15.4,NA,2017-10-06,32,5.6,1000,telephone (rolling),NA,0
Angus Reid,37,NA,4,14,NA,2017-10-04,36,8,1477,online,NA,0
EKOS,34.4,NA,4.5,14.5,NA,2017-10-01,33.3,8.9,4839,IVR,NA,0
Nanos Research,38.1,NA,6.3,15.2,NA,2017-09-29,31.2,6.7,1000,telephone (rolling),NA,0
Ipsos,39,NA,5,20,NA,2017-09-27,32,NA,1001,online,NA,0
Nanos Research,38.5,NA,6.1,14.6,NA,2017-09-22,32.5,5.7,1000,telephone (rolling),NA,0
Nanos Research,40.9,NA,6,15.5,NA,2017-09-15,30,5.5,1000,telephone (rolling),NA,0
Forum Research,35,NA,5,15,NA,2017-09-14,39,4,1350,IVR,NA,0
Campaign Research,42,NA,5,16,NA,2017-09-11,30,6,1770,online,NA,0
Nanos Research,42,NA,4.6,15.9,NA,2017-09-08,30.1,5.9,1000,telephone (rolling),NA,0
Abacus Data,43,NA,3,17,NA,2017-09-03,31,6,1512,online,NA,0
Nanos Research,41.2,NA,4.9,15.7,NA,2017-09-01,32,4.7,1000,telephone (rolling),NA,0
Mainstreet Research,43,NA,4,15,NA,2017-08-31,32,5,2000,telephone,NA,0
Nanos Research,41.9,NA,4.3,16.4,NA,2017-08-25,30.8,5,1000,telephone (rolling),NA,0
Nanos Research,39.4,NA,5.1,18.2,NA,2017-08-18,31,4.9,1000,telephone (rolling),NA,0
Forum Research,42,NA,4,14,NA,2017-08-17,35,4,1150,IVR,NA,0
Nanos Research,37.8,NA,5.2,19.2,NA,2017-08-11,31.1,5.4,1000,telephone (rolling),NA,0
Nanos Research,37.5,NA,6.4,20.2,NA,2017-08-04,29.3,5.4,1000,telephone (rolling),NA,0
Nanos Research,36.7,NA,5.8,20,NA,2017-07-28,29.1,6.8,1000,telephone (rolling),NA,0
Nanos Research,39,NA,4.2,18.4,NA,2017-07-21,30.3,6.2,1000,telephone (rolling),NA,0
Abacus Data,43,NA,3,16,NA,2017-07-18,31,5,2036,online,NA,0
Nanos Research,38.3,NA,5.9,16.2,NA,2017-07-14,31.2,6.1,1000,telephone (rolling),NA,0
Campaign Research,40,NA,4,19,NA,2017-07-10,31,5,1540,online,NA,0
Nanos Research,39.8,NA,5.3,13.6,NA,2017-07-07,33,6.4,1000,telephone (rolling),NA,0
Nanos Research,38.9,NA,6.3,14,NA,2017-06-30,31.6,7.6,1000,telephone (rolling),NA,0
Nanos Research,38.3,NA,6.8,15.7,NA,2017-06-23,31.1,6.2,1000,telephone (rolling),NA,0
EKOS,35.3,NA,3.7,15.2,NA,2017-06-19,33,8.5,5658,IVR,NA,0
Nanos Research,37.5,NA,6.7,16.5,NA,2017-06-16,30.9,6.5,1000,telephone (rolling),NA,0
Campaign Research,39,NA,5,19,NA,2017-06-12,30,7,2767,online,NA,0
Angus Reid,37,NA,4,17,NA,2017-06-12,34,6,5406,online,NA,0
Nanos Research,36.8,NA,6.1,17.3,NA,2017-06-09,30.5,7.1,1000,telephone (rolling),NA,0
Forum Research,42,NA,5,12,NA,2017-06-08,34,6,1483,IVR,NA,0
Nanos Research,40,NA,6.2,16.5,NA,2017-06-02,28.1,7.3,1000,telephone (rolling),NA,0
Angus Reid,40,NA,4,16,NA,2017-05-31,33,6,1958,online,NA,0
Mainstreet Research,41,NA,4,17,NA,2017-05-29,33,5,2800,IVR,NA,0
Nanos Research,40.3,NA,5.7,16.7,NA,2017-05-26,28.6,7.2,1000,telephone (rolling),NA,0
Nanos Research,42.1,NA,5.2,16.2,NA,2017-05-19,27.9,7.4,1000,telephone (rolling),NA,0
Leger,46,NA,5,16,NA,2017-05-18,25,6,1529,online,NA,0
Mainstreet Research,41,NA,5,18,NA,2017-05-15,31,5,2800,IVR,NA,0
Campaign Research,43,NA,3,19,NA,2017-05-13,27,7,1969,online,NA,0
Abacus Data,43,NA,4,20,NA,2017-05-12,27,5,1182,online,NA,0
Nanos Research,42.8,NA,6,15.9,NA,2017-05-12,28.1,5.6,1000,telephone (rolling),NA,0
Nanos Research,41.8,NA,5.1,18.8,NA,2017-05-05,29,4.1,1000,telephone (rolling),NA,0
Nanos Research,43,NA,4.4,18.5,NA,2017-04-28,29.6,3.6,1000,telephone (rolling),NA,0
Forum Research,35,NA,5,17,NA,2017-04-24,35,7,1479,IVR,NA,0
Nanos Research,42,NA,4,19,NA,2017-04-21,30.4,2.9,1000,telephone (rolling),NA,0
Nanos Research,41.4,NA,3.4,18.7,NA,2017-04-14,32.4,3.1,1000,telephone (rolling),NA,0
Campaign Research,38,NA,6,19,NA,2017-04-11,29,6,1970,online,NA,0
Nanos Research,40.3,NA,4,18,NA,2017-04-07,32.6,3.5,1000,telephone (rolling),NA,0
Nanos Research,40.6,NA,5.2,18.4,NA,2017-03-31,29.6,4.6,1000,telephone (rolling),NA,0
Ipsos,39,NA,5,20,NA,2017-03-30,32,NA,1001,online,NA,0
Nanos Research,42.5,NA,4.8,16.1,NA,2017-03-24,29.2,5.2,1000,telephone (rolling),NA,0
Forum Research,36,NA,6,15,NA,2017-03-23,38,4,1029,IVR,NA,0
Stratcom,44,NA,4,16,NA,2017-03-17,29,6,2029,online,NA,0
Nanos Research,41.9,NA,4.7,17.1,NA,2017-03-17,28.5,5.2,1000,telephone (rolling),NA,0
Nanos Research,41.4,NA,4.9,17,NA,2017-03-10,28.1,6,1000,telephone (rolling),NA,0
Campaign Research,43,NA,6,16,NA,2017-03-07,27,5,1886,online/IVR,NA,0
